( This is first order matching
( CM energy=  13.000TeV, collider:   1
( HqT2.0 runs with LHAPDF routines
( PDF4LHC15_nnlo_100       , mem=  0
( alpha_S( 125.09 GeV) = 0.112628
( Mh=  125.09GeV, complex plane
( Q=   125.09GeV
( mur= 125.09GeV, muf= 125.09GeV
( g= 0.00, norm=  0
( qt             res            asym           fixor          matched        switched
  5.0000000E+00  5.0185878E-01  3.0578376E+00  3.0962510E+00  5.4027221E-01  5.4027221E-01
  7.5000000E+00  6.2560862E-01  1.7367106E+00  1.7825067E+00  6.7140469E-01  6.7140469E-01
  1.0000000E+01  6.7514668E-01  1.1418713E+00  1.1927567E+00  7.2603213E-01  7.2603213E-01
  1.2500000E+01  6.7705936E-01  8.1390993E-01  8.6827520E-01  7.3142463E-01  7.3142463E-01
  1.5000000E+01  6.5173689E-01  6.1061572E-01  6.6728997E-01  7.0841114E-01  7.0841114E-01
  1.7500000E+01  6.1231721E-01  4.7454791E-01  5.3265526E-01  6.7042457E-01  6.7042457E-01
  2.0000000E+01  5.6671016E-01  3.7839929E-01  4.3727709E-01  6.2558795E-01  6.2558795E-01
  2.2500000E+01  5.1950498E-01  3.0765916E-01  3.6679882E-01  5.7864464E-01  5.7864464E-01
  2.5000000E+01  4.7327382E-01  2.5396330E-01  3.1297168E-01  5.3228220E-01  5.3228220E-01
  2.7500000E+01  4.2938530E-01  2.1218099E-01  2.7075510E-01  4.8795941E-01  4.8795941E-01
  3.0000000E+01  3.8849723E-01  1.7900625E-01  2.3691133E-01  4.4640232E-01  4.4640232E-01
