( This is first order matching
( CM energy=  13.000TeV, collider:   1
( HqT2.0 runs with LHAPDF routines
( PDF4LHC15_nnlo_100       , mem=  0
( alpha_S( 125.09 GeV) = 0.112628
( Mh=  125.09GeV, complex plane
( Q=   125.09GeV
( mur= 125.09GeV, muf= 125.09GeV
( g= 0.00, norm=  0
( qt             res            asym           fixor          matched        switched
  5.0000000E+00  4.9582336E-01  2.7095675E+00  2.7479951E+00  5.3425090E-01  5.3425090E-01
  7.5000000E+00  6.1854580E-01  1.5054089E+00  1.5515376E+00  6.6467445E-01  6.6467445E-01
  1.0000000E+01  6.6793862E-01  9.6921528E-01  1.0206683E+00  7.1939162E-01  7.1939162E-01
  1.2500000E+01  6.7017285E-01  6.7655062E-01  7.3167710E-01  7.2529933E-01  7.2529933E-01
  1.5000000E+01  6.4538471E-01  4.9686588E-01  5.5446809E-01  7.0298692E-01  7.0298692E-01
  1.7500000E+01  6.0657350E-01  3.7772039E-01  4.3690612E-01  6.6575923E-01  6.6575923E-01
  2.0000000E+01  5.6157766E-01  2.9430830E-01  3.5440137E-01  6.2167072E-01  6.2167072E-01
  2.2500000E+01  5.1495177E-01  2.3350940E-01  2.9399139E-01  5.7543376E-01  5.7543376E-01
  2.5000000E+01  4.6925296E-01  1.8779434E-01  2.4826160E-01  5.2972023E-01  5.2972023E-01
  2.7500000E+01  4.2584516E-01  1.5256410E-01  2.1270274E-01  4.8598381E-01  4.8598381E-01
  3.0000000E+01  3.8538677E-01  1.2486750E-01  1.8443344E-01  4.4495272E-01  4.4495272E-01
