( This is first order matching
( CM energy=  13.000TeV, collider:   1
( HqT2.0 runs with LHAPDF routines
( PDF4LHC15_nnlo_100       , mem=  0
( alpha_S( 125.09 GeV) = 0.112628
( Mh=  125.09GeV, complex plane
( Q=   125.09GeV
( mur= 125.09GeV, muf= 125.09GeV
( g= 0.00, norm=  0
( qt             res            asym           fixor          matched        switched
  5.0000000E+00  6.0354219E-03  3.4827002E-01  3.4827515E-01  6.0405562E-03  6.0405562E-03
  7.5000000E+00  7.0628156E-03  2.3130173E-01  2.3095702E-01  6.7181030E-03  6.7181030E-03
  1.0000000E+01  7.2080558E-03  1.7265600E-01  1.7206579E-01  6.6178487E-03  6.6178487E-03
  1.2500000E+01  6.8865030E-03  1.3735931E-01  1.3656807E-01  6.0952608E-03  6.0952608E-03
  1.5000000E+01  6.3521852E-03  1.1374984E-01  1.1278209E-01  5.3844356E-03  5.3844356E-03
  1.7500000E+01  5.7437099E-03  9.6827517E-02  9.5701147E-02  4.6173399E-03  4.6173399E-03
  2.0000000E+01  5.1325014E-03  8.4090985E-02  8.2820539E-02  3.8620559E-03  3.8620559E-03
  2.2500000E+01  4.5532155E-03  7.4149760E-02  7.2747762E-02  3.1512173E-03  3.1512173E-03
  2.5000000E+01  4.0208603E-03  6.6168966E-02  6.4647038E-02  2.4989324E-03  2.4989324E-03
  2.7500000E+01  3.5401306E-03  5.9616894E-02  5.7984972E-02  1.9082080E-03  1.9082080E-03
  3.0000000E+01  3.1104583E-03  5.4138753E-02  5.2406428E-02  1.3781333E-03  1.3781333E-03
